iter	RMSE
0	75217.78628
1	73406.41734
2	71569.03844
3	69955.78964
4	68221.22454
5	66624.44186
6	65051.4432
7	63566.57765
8	62184.21158
9	60757.6367
10	59355.78286
11	58209.30596
12	56984.51042
13	55866.32924
14	54736.28684
15	53544.09449
16	52474.94241
17	51411.05031
18	50542.56129
19	49547.29342
20	48646.03904
21	47708.45172
22	46888.43714
23	46020.37821
24	45357.05946
25	44607.53577
26	43871.36703
27	43141.98323
28	42556.54724
29	41919.16872
30	41339.99521
31	40850.3703
32	40285.55287
33	39723.79539
34	39122.11763
35	38569.47806
36	38120.89331
37	37637.10606
38	37137.21546
39	36695.8777
40	36179.44221
41	35709.85797
42	35264.02129
43	34864.61396
44	34445.7446
45	34084.18967
46	33642.37971
47	33320.91947
48	33024.07608
49	32667.83846
50	32328.16231
51	32089.97722
52	31755.36789
53	31489.49705
54	31286.55214
55	31042.05567
56	30799.30003
57	30498.1503
58	30266.2848
59	30036.88931
60	29813.46233
61	29549.79473
62	29294.52615
63	29071.73867
64	28825.38546
65	28580.9713
66	28346.08094
67	28123.25789
68	27923.70894
69	27730.29314
70	27565.65161
71	27421.83709
72	27307.27614
73	27170.47671
74	26999.46143
75	26836.49938
76	26637.12106
77	26458.44997
78	26350.35371
79	26173.42951
80	25991.74099
81	25817.91797
82	25699.35347
83	25555.79933
84	25387.81841
85	25249.93985
86	25156.89629
87	25045.82633
88	24909.52266
89	24811.92955
90	24689.85332
91	24566.11005
92	24487.35722
93	24376.08301
94	24288.83186
95	24148.57703
96	24016.95862
97	23940.36914
98	23867.26352
99	23753.18655
100	23659.14595
101	23609.5735
102	23525.51783
103	23432.92426
104	23308.10227
105	23194.9961
106	23111.33551
107	23050.71864
108	22922.83772
109	22809.84204
110	22683.40682
111	22559.16916
112	22439.7305
113	22336.96416
114	22222.94734
115	22166.58056
116	22026.44031
117	21935.47833
118	21905.74445
119	21794.02936
120	21708.23037
121	21674.52353
122	21603.63633
123	21514.09948
124	21403.95077
125	21357.03754
126	21280.52471
127	21172.97575
128	21099.05784
129	21028.19204
130	20954.94624
131	20927.9472
132	20852.5325
133	20778.15441
134	20696.25758
135	20669.50842
136	20616.79426
137	20532.0919
138	20470.2767
139	20389.35053
140	20294.13065
141	20243.54068
142	20169.9645
143	20147.68893
144	20124.29511
145	20077.83114
146	20012.19875
147	19964.07195
148	19944.94103
149	19900.1529
150	19862.03175
151	19839.68511
152	19799.90439
153	19729.24553
154	19662.40483
155	19623.3113
156	19532.86092
157	19493.89151
158	19428.95541
159	19378.01609
160	19319.1571
161	19252.85509
162	19216.25962
163	19191.83312
164	19158.65791
165	19136.21415
166	19088.12702
167	19043.60754
168	18980.69774
169	18922.45808
170	18876.06889
171	18837.63493
172	18791.343
173	18728.53108
174	18668.94341
175	18639.31292
176	18621.54453
177	18557.54686
178	18541.01385
179	18503.5311
180	18438.86922
181	18412.32772
182	18394.19072
183	18359.13403
184	18313.81114
185	18285.23445
186	18259.17925
187	18214.84103
188	18167.06941
189	18130.10915
190	18085.82364
191	18042.90727
192	17989.62209
193	17966.35096
194	17927.16096
195	17885.35868
196	17825.86084
197	17785.70138
198	17742.02883
199	17726.42607
200	17679.79071
201	17657.12743
202	17641.1109
203	17602.75608
204	17585.90939
205	17576.77291
206	17553.904
207	17494.27651
208	17435.3521
209	17402.05079
210	17361.0054
211	17343.27251
212	17278.88779
213	17233.00799
214	17190.27666
215	17150.27154
216	17128.86234
217	17117.79475
218	17089.62061
219	17047.3948
220	17020.9419
221	16974.50487
222	16937.55587
223	16898.67818
224	16889.77055
225	16853.96929
226	16820.98342
227	16808.67553
228	16764.14038
229	16756.58689
230	16707.90731
231	16684.01137
232	16640.35284
233	16620.06385
234	16582.16022
235	16548.51506
236	16525.68249
237	16485.69589
238	16469.53336
239	16441.47479
240	16407.69806
241	16382.22879
242	16332.68071
243	16298.31787
244	16266.10379
245	16229.13218
246	16201.87009
247	16150.72624
248	16119.62749
249	16096.2972
250	16082.25132
251	16039.24471
252	16031.32162
253	15995.0853
254	15965.84319
255	15946.7949
256	15910.46508
257	15889.75142
258	15860.01438
259	15842.81008
260	15804.25357
261	15780.99415
262	15775.37302
263	15746.52205
264	15716.72741
265	15686.42035
266	15678.89777
267	15652.35638
268	15627.58411
269	15607.34409
270	15567.8405
271	15550.60861
272	15527.5424
273	15515.98887
274	15500.79537
275	15479.6335
276	15436.42516
277	15419.33415
278	15401.73496
279	15384.65433
280	15357.26687
281	15333.94087
282	15321.90653
283	15304.76495
284	15285.86134
285	15259.66068
286	15234.82467
287	15210.79463
288	15185.42639
289	15165.59833
290	15149.68915
291	15145.50568
292	15105.75117
293	15084.14144
294	15063.55444
295	15054.60122
296	15028.97111
297	15020.92986
298	15004.67135
299	14975.38305
300	14934.36142
301	14911.31554
302	14895.92347
303	14872.02962
304	14860.23068
305	14845.88169
306	14832.67413
307	14804.87096
308	14794.95442
309	14790.16579
310	14783.12201
311	14751.48549
312	14748.08085
313	14742.38604
314	14728.77411
315	14718.51559
316	14693.16679
317	14673.67897
318	14659.21737
319	14648.69421
320	14644.43238
321	14615.99056
322	14606.73213
323	14603.22529
324	14572.43626
325	14549.0353
326	14517.86379
327	14491.7176
328	14475.35271
329	14469.01665
330	14445.9705
331	14413.32075
332	14407.06447
