iter	Passed	Remaining
0	41	40971
1	90	45026
2	125	41770
3	140	35011
4	155	30911
5	170	28299
6	186	26413
7	202	25151
8	217	23991
9	234	23184
10	251	22606
11	266	21924
12	281	21342
13	298	21031
14	319	20978
15	365	22481
16	386	22332
17	410	22384
18	431	22266
19	451	22133
20	470	21932
21	492	21885
22	511	21718
23	532	21660
24	559	21822
25	578	21674
26	599	21622
27	622	21607
28	653	21865
29	687	22238
30	717	22416
31	743	22491
32	763	22375
33	794	22559
34	826	22775
35	849	22741
36	874	22769
37	901	22819
38	929	22903
39	952	22870
40	976	22847
41	999	22792
42	1026	22840
43	1057	22982
44	1083	22987
45	1106	22938
46	1139	23102
47	1163	23068
48	1188	23057
49	1209	22972
50	1229	22870
51	1238	22578
52	1255	22429
53	1271	22279
54	1290	22173
55	1309	22078
56	1329	21988
57	1347	21881
58	1371	21876
59	1388	21754
60	1404	21623
61	1423	21542
62	1441	21442
63	1464	21418
64	1487	21391
65	1507	21330
66	1525	21237
67	1547	21212
68	1572	21222
69	1595	21191
70	1617	21170
71	1645	21210
72	1676	21288
73	1707	21370
74	1728	21316
75	1751	21294
76	1772	21248
77	1805	21346
78	1820	21220
79	1843	21204
80	1869	21206
81	1890	21169
82	1915	21161
83	1935	21104
84	1957	21068
85	1976	21003
86	2000	20994
87	2026	20997
88	2057	21057
89	2078	21016
90	2099	20969
91	2117	20902
92	2138	20856
93	2165	20873
94	2189	20858
95	2208	20799
96	2230	20765
97	2249	20703
98	2272	20683
99	2292	20633
100	2314	20601
101	2337	20576
102	2357	20533
103	2377	20486
104	2403	20490
105	2434	20535
106	2469	20613
107	2507	20711
108	2557	20903
109	2598	21026
110	2646	21198
111	2688	21318
112	2712	21292
113	2735	21263
114	2764	21275
115	2801	21345
116	2822	21304
117	2843	21255
118	2877	21300
119	2898	21258
120	2932	21302
121	2973	21398
122	2993	21343
123	3019	21331
124	3046	21328
125	3065	21266
126	3094	21269
127	3111	21197
128	3127	21115
129	3146	21054
130	3166	21005
131	3185	20945
132	3213	20947
133	3232	20893
134	3251	20836
135	3259	20708
136	3277	20647
137	3303	20637
138	3323	20586
139	3342	20533
140	3358	20460
141	3384	20446
142	3408	20428
143	3424	20358
144	3441	20292
145	3459	20233
146	3475	20169
147	3494	20116
148	3519	20099
149	3541	20070
150	3565	20045
151	3592	20040
152	3610	19985
153	3630	19945
154	3657	19937
155	3687	19951
156	3710	19923
157	3737	19918
158	3763	19906
159	3809	19998
160	3837	19998
161	3860	19967
162	3888	19967
163	3903	19899
164	3938	19928
165	3980	19996
166	4004	19973
167	4030	19963
168	4050	19915
169	4072	19882
170	4093	19843
171	4127	19867
172	4153	19854
173	4176	19827
174	4198	19793
175	4222	19767
176	4244	19735
