iter	RMSE
0	78044.23738
1	76083.44926
2	74327.28143
3	72399.24821
4	70550.78659
5	68733.28103
6	67188.52655
7	65698.07746
8	64160.75011
9	62706.26583
10	61426.73617
11	60001.71332
12	58943.32648
13	57813.96877
14	56554.72272
15	55375.49834
16	54425.88673
17	53359.23334
18	52379.90993
19	51373.52421
20	50517.03621
21	49568.64545
22	48684.16978
23	47815.3303
24	46993.6559
25	46247.85112
26	45439.54999
27	44729.83889
28	44001.8025
29	43403.32132
30	42714.32453
31	42095.79143
32	41456.03893
33	40827.19461
34	40304.73921
35	39679.35714
36	39139.32522
37	38586.18512
38	38016.79871
39	37482.32734
40	37061.21678
41	36524.82763
42	36079.81137
43	35660.4728
44	35347.11991
45	34937.2355
46	34561.34219
47	34160.41443
48	33806.6044
49	33479.76728
50	33111.65295
51	32818.90731
52	32539.6541
53	32215.57519
54	31853.14386
55	31558.16155
56	31275.55884
57	30959.78709
58	30651.4418
59	30404.4594
60	30098.48038
61	29818.20539
62	29549.70701
63	29368.52794
64	29165.70454
65	28973.89453
66	28730.83137
67	28489.44665
68	28269.93182
69	28075.13293
70	27856.99346
71	27637.23156
72	27458.90181
73	27275.89616
74	27054.66327
75	26888.04871
76	26690.1294
77	26521.14234
78	26343.17782
79	26222.02548
80	26049.03352
81	25916.76942
82	25751.54905
83	25556.7464
84	25445.01645
85	25254.94057
86	25057.40999
87	24912.1957
88	24748.20243
89	24633.79166
90	24498.06701
91	24367.07541
92	24233.04532
93	24117.60085
94	23998.84969
95	23901.54489
96	23789.09864
97	23642.25452
98	23561.40786
99	23483.46079
100	23359.08162
101	23257.91701
102	23094.53913
103	22999.09176
104	22921.23448
105	22875.5913
106	22815.12927
107	22751.96046
108	22649.51071
109	22564.53249
110	22513.72508
111	22421.86313
112	22382.52118
113	22325.65549
114	22243.71375
115	22184.51074
116	22107.71794
117	22020.32706
118	21915.62518
119	21865.53037
120	21822.10621
121	21777.59122
122	21681.2384
123	21625.19805
124	21581.53378
125	21484.41621
126	21398.21601
127	21351.9762
128	21265.47674
129	21196.83708
130	21083.01323
131	21002.97646
132	20948.86614
133	20883.09972
134	20805.86371
135	20765.75551
136	20689.27717
137	20632.3027
138	20589.34756
139	20532.88409
140	20499.57446
141	20407.97342
142	20321.7497
143	20277.70619
144	20229.7033
145	20198.09232
146	20166.11047
147	20113.88913
148	20056.74687
149	20018.87932
150	19980.63788
151	19946.4104
152	19881.03447
153	19820.45167
154	19742.80576
155	19690.77082
156	19665.91526
157	19604.07702
158	19533.18632
159	19516.09928
160	19462.78115
161	19440.08206
162	19396.06656
163	19376.94437
164	19307.45255
165	19253.52804
166	19218.11582
167	19151.88374
168	19096.11187
169	19068.54824
170	19041.15005
171	19000.18527
172	18932.49277
173	18903.35833
174	18882.94113
175	18856.96743
176	18818.34279
177	18791.48926
178	18775.52239
179	18743.59794
180	18726.29897
181	18699.85922
182	18650.1551
183	18632.85435
184	18585.112
185	18545.11543
186	18501.88371
187	18479.1849
188	18471.39236
189	18445.51127
190	18406.78846
191	18384.422
192	18350.81772
193	18325.51521
194	18310.42128
195	18282.20083
196	18260.62873
197	18228.60736
198	18175.74406
199	18143.78319
200	18084.68972
201	18057.69478
202	18043.72483
203	18025.9271
204	17986.21939
205	17964.93634
206	17956.27604
207	17940.84819
208	17920.24016
209	17883.58778
210	17875.41699
211	17855.89125
