iter	Passed	Remaining
0	17	17187
1	35	17607
2	51	16998
3	71	17877
4	89	17777
5	108	18050
6	126	17959
7	155	19243
8	172	18940
9	195	19354
10	242	21806
11	274	22569
12	280	21333
13	303	21383
14	320	21058
15	337	20760
16	360	20870
17	377	20583
18	400	20672
19	419	20538
20	450	21015
21	470	20914
22	491	20884
23	516	20986
24	537	20957
25	564	21155
26	590	21271
27	617	21445
28	637	21333
29	656	21236
30	681	21307
31	694	21001
32	715	20966
33	735	20896
34	750	20688
35	776	20795
36	796	20742
37	824	20883
38	858	21144
39	890	21377
40	916	21430
41	934	21318
42	954	21241
43	971	21101
44	985	20905
45	1001	20777
46	1019	20678
47	1037	20576
48	1058	20540
49	1076	20449
50	1094	20366
51	1113	20291
52	1130	20192
53	1165	20422
54	1181	20302
55	1197	20180
56	1223	20236
57	1242	20171
58	1262	20141
59	1281	20069
60	1299	20003
61	1318	19951
62	1342	19973
63	1372	20074
64	1416	20382
65	1447	20490
66	1483	20658
67	1514	20752
68	1547	20874
69	1576	20947
70	1605	21009
71	1658	21373
72	1683	21376
73	1707	21362
74	1729	21325
75	1749	21266
76	1772	21247
77	1797	21246
78	1823	21255
79	1846	21229
80	1871	21227
81	1899	21260
82	1919	21207
83	1944	21206
84	1963	21136
85	1986	21112
86	2005	21048
87	2026	20998
88	2045	20938
89	2061	20848
90	2084	20822
91	2103	20761
92	2142	20897
93	2168	20896
94	2190	20871
95	2227	20978
96	2247	20919
97	2264	20846
98	2283	20782
99	2303	20729
100	2325	20702
101	2358	20764
102	2381	20738
103	2400	20682
104	2423	20656
105	2444	20619
106	2485	20746
107	2512	20749
108	2545	20806
109	2576	20847
110	2630	21064
111	2650	21011
112	2664	20912
113	2694	20937
114	2713	20884
115	2744	20914
116	2776	20957
117	2810	21008
118	2843	21051
119	2869	21043
120	2892	21014
121	2912	20958
122	2932	20911
123	2956	20884
124	2976	20836
125	2997	20795
126	3027	20808
127	3056	20824
128	3088	20852
129	3111	20819
130	3142	20848
131	3161	20790
132	3171	20676
133	3194	20644
134	3225	20667
135	3246	20622
136	3275	20633
137	3299	20608
138	3337	20672
139	3357	20622
140	3377	20577
141	3404	20570
142	3421	20505
143	3446	20486
144	3467	20444
145	3476	20337
146	3510	20373
147	3542	20393
148	3581	20453
149	3611	20467
150	3643	20484
151	3671	20484
152	3691	20435
153	3712	20393
154	3734	20357
155	3751	20298
156	3760	20190
157	3782	20155
158	3808	20146
159	3826	20090
160	3846	20046
161	3864	19989
162	3882	19936
163	3902	19892
164	3921	19846
165	3941	19804
166	3961	19759
167	3978	19704
168	3998	19663
169	4018	19621
170	4040	19588
171	4064	19567
172	4083	19519
173	4102	19476
